domain,filename,chi_square,rs_analysis,spa,histogram
ambient,nature1.wav,0.978261,0.000439,0.00032024,0.977771
ambient,nature10.wav,0.918919,0.002111,0.00219752,0.971701
ambient,nature11.wav,0.954545,0.001036,-8.472e-05,0.97876
ambient,nature2.wav,0.975,0.00055,2.54e-05,0.986304
ambient,nature3.wav,0.983051,0.000506,-6.026e-05,0.976728
ambient,nature4.wav,0.962963,0.001875,0.00077301,0.978035
ambient,nature5.wav,0.981481,0.001907,-0.00070634,0.975485
ambient,nature6.wav,1.0,0.00229,-0.00075248,0.988884
ambient,nature7.wav,1.0,0.00258,0.00095992,0.963708
ambient,nature8.wav,0.924528,0.000297,0.00087197,0.983073
ambient,nature9.wav,0.588235,0.000859,0.00022955,0.710661
instrumental,instrument1.wav,0.909091,0.001068,-0.00118054,0.914437
instrumental,instrument10.wav,0.972222,0.001768,-0.00071902,0.905939
instrumental,instrument11.wav,0.928571,0.002673,0.0003354,0.907386
instrumental,instrument2.wav,0.909091,0.001227,-0.00083614,0.866252
instrumental,instrument3.wav,1.0,0.005809,0.00157954,0.932571
instrumental,instrument4.wav,1.0,0.002393,-0.00098212,0.969949
instrumental,instrument5.wav,0.941176,0.000543,0.0007381,0.917605
instrumental,instrument6.wav,1.0,0.005046,-0.00149089,0.921627
instrumental,instrument7.wav,1.0,0.001004,0.0009493,0.964393
instrumental,instrument8.wav,0.85,0.003195,0.00066457,0.883385
instrumental,instrument9.wav,0.947368,0.005924,0.00294986,0.890792
short_voice,shortvoice1.wav,0.5,0.006682,0.00088826,0.884622
short_voice,shortvoice10.wav,0.5,0.003427,0.00145164,0.894329
short_voice,shortvoice11.wav,0.666667,0.004929,-0.00694774,0.923864
short_voice,shortvoice2.wav,1.0,0.019085,0.00389712,0.879741
short_voice,shortvoice3.wav,0.333333,0.013434,0.00934979,0.818593
short_voice,shortvoice4.wav,1.0,0.001862,-0.00242722,0.868729
short_voice,shortvoice5.wav,0.0,0.000556,0.01238369,0.52266
short_voice,shortvoice6.wav,1.0,0.017011,-0.00211375,0.862986
short_voice,shortvoice7.wav,0.0,0.034236,0.01070844,0.852057
short_voice,shortvoice8.wav,1.0,0.007639,0.00349685,0.910417
short_voice,shortvoice9.wav,0.0,0.009215,0.00354092,0.837003
speech,speech1.wav,0.984615,0.001027,0.00023539,0.977351
speech,speech10.wav,1.0,0.003055,-0.00256642,0.921823
speech,speech11.wav,0.964286,0.003457,-0.00094569,0.940603
speech,speech2.wav,0.888889,0.006062,-0.00050685,0.938117
speech,speech3.wav,0.291667,0.002604,0.00016406,0.806826
speech,speech4.wav,0.977273,0.000632,5.925e-05,0.965517
speech,speech5.wav,0.975,0.006219,0.00175308,0.965119
speech,speech6.wav,0.309524,0.000472,0.00149391,0.789105
speech,speech7.wav,1.0,0.000903,-0.0005392,0.961619
speech,speech8.wav,0.777778,0.004097,0.00083831,0.906479
speech,speech9.wav,1.0,0.001664,0.00011171,0.934549
