Domain,Filename,Method,Payload_Rate,PSNR,SNR,SF_Change,Entropy_Change,Steg_Detected_Count,Verdict
ambient,nature1.wav,Sequential,1%,113.2823,82.7339,0.0004790000000000072,9.999999999177334e-07,1,SUSPICIOUS
ambient,nature1.wav,Randomized,1%,113.284,82.7356,0.0004750000000000032,9.999999999177334e-07,1,SUSPICIOUS
ambient,nature1.wav,Adaptive,1%,113.3004,82.7519,0.0004989999999999994,9.999999999177334e-07,1,SUSPICIOUS
ambient,nature1.wav,Sequential,5%,106.3358,75.7873,0.0022120000000000056,0.0,1,SUSPICIOUS
ambient,nature1.wav,Randomized,5%,106.3257,75.7772,0.0022140000000000076,9.999999999177334e-07,1,SUSPICIOUS
ambient,nature1.wav,Adaptive,5%,106.3224,75.7739,0.0022290000000000088,0.0,1,SUSPICIOUS
ambient,nature1.wav,Sequential,10%,103.3246,72.7761,0.0039970000000000006,2.0000000000575113e-06,1,SUSPICIOUS
ambient,nature1.wav,Randomized,10%,103.3184,72.7699,0.00399300000000001,1.0000000000287557e-06,1,SUSPICIOUS
ambient,nature1.wav,Adaptive,10%,103.3229,72.7745,0.003991000000000008,0.0,1,SUSPICIOUS
ambient,nature1.wav,Sequential,25%,99.3303,68.7818,0.007977000000000012,1.0000000000287557e-06,1,SUSPICIOUS
ambient,nature1.wav,Randomized,25%,99.3379,68.7895,0.007986000000000007,2.0000000000575113e-06,1,SUSPICIOUS
ambient,nature1.wav,Adaptive,25%,99.3411,68.7927,0.00796100000000001,0.0,1,SUSPICIOUS
ambient,nature1.wav,Sequential,50%,96.3312,65.7827,0.012298000000000003,3.000000000086267e-06,1,SUSPICIOUS
ambient,nature1.wav,Randomized,50%,96.3292,65.7807,0.012296000000000001,4.000000000004e-06,1,SUSPICIOUS
ambient,nature1.wav,Adaptive,50%,96.3196,65.7711,0.012310000000000001,3.000000000086267e-06,1,SUSPICIOUS
ambient,nature10.wav,Sequential,1%,113.2501,83.5771,0.00010199999999999099,0.0,1,SUSPICIOUS
ambient,nature10.wav,Randomized,1%,113.2515,83.5785,0.00010199999999999099,0.0,1,SUSPICIOUS
ambient,nature10.wav,Adaptive,1%,113.2705,83.5975,0.00010100000000000386,9.999999999177334e-07,1,SUSPICIOUS
ambient,nature10.wav,Sequential,5%,106.3153,76.6422,0.0005079999999999946,3.000000000086267e-06,1,SUSPICIOUS
ambient,nature10.wav,Randomized,5%,106.3088,76.6358,0.0005129999999999996,1.0000000000287557e-06,1,SUSPICIOUS
ambient,nature10.wav,Adaptive,5%,106.3008,76.6278,0.0005170000000000036,1.0000000000287557e-06,1,SUSPICIOUS
ambient,nature10.wav,Sequential,10%,103.3172,73.6442,0.0009590000000000015,1.0000000000287557e-06,1,SUSPICIOUS
ambient,nature10.wav,Randomized,10%,103.3185,73.6455,0.0009629999999999916,4.000000000004e-06,1,SUSPICIOUS
ambient,nature10.wav,Adaptive,10%,103.3229,73.6499,0.0009669999999999956,2.0000000000575113e-06,1,SUSPICIOUS
ambient,nature10.wav,Sequential,25%,99.3324,69.6594,0.002138000000000001,8.000000000008e-06,1,SUSPICIOUS
ambient,nature10.wav,Randomized,25%,99.3389,69.6659,0.002127000000000004,1.0000000000065512e-05,1,SUSPICIOUS
ambient,nature10.wav,Adaptive,25%,99.3395,69.6665,0.002123,7.000000000090267e-06,1,SUSPICIOUS
ambient,nature10.wav,Sequential,50%,96.3264,66.6534,0.0035560000000000036,1.7000000000044757e-05,1,SUSPICIOUS
ambient,nature10.wav,Randomized,50%,96.3264,66.6534,0.003575999999999996,1.5000000000098268e-05,1,SUSPICIOUS
ambient,nature10.wav,Adaptive,50%,96.33,66.657,0.003592999999999999,1.3000000000040757e-05,1,SUSPICIOUS
ambient,nature11.wav,Sequential,1%,113.2659,70.2451,0.00047799999999997844,0.0,2,DETECTED
ambient,nature11.wav,Randomized,1%,113.2642,70.2434,0.00046400000000001995,1.0000000000287557e-06,2,DETECTED
ambient,nature11.wav,Adaptive,1%,113.2596,70.2389,0.0004970000000000252,0.0,2,DETECTED
ambient,nature11.wav,Sequential,5%,106.2987,63.2779,0.0022479999999999722,1.999999999946489e-06,2,DETECTED
ambient,nature11.wav,Randomized,5%,106.309,63.2883,0.0021700000000000053,1.0000000000287557e-06,2,DETECTED
ambient,nature11.wav,Adaptive,5%,106.3088,63.288,0.002261000000000013,1.0000000000287557e-06,2,DETECTED
ambient,nature11.wav,Sequential,10%,103.3027,60.2819,0.004097000000000017,4.000000000004e-06,2,DETECTED
ambient,nature11.wav,Randomized,10%,103.3379,60.3171,0.004178999999999988,0.0,2,DETECTED
ambient,nature11.wav,Adaptive,10%,103.3258,60.305,0.004166000000000003,3.000000000086267e-06,2,DETECTED
ambient,nature11.wav,Sequential,25%,99.3333,56.3125,0.009039999999999992,1.1000000000094268e-05,2,DETECTED
ambient,nature11.wav,Randomized,25%,99.3311,56.3104,0.009085999999999983,1.2000000000012001e-05,2,DETECTED
ambient,nature11.wav,Adaptive,25%,99.3408,56.3201,0.008880999999999972,4.000000000004e-06,2,DETECTED
