Domain,Filename,Strategy,Encrypted,Payload_Rate,PSNR,Extraction_OK,BER,stat_chi_square,stat_rs_analysis,stat_spa,stat_histogram,det_chi_square,det_rs_analysis,det_spa,det_histogram,Detected_Count,Discriminative_Detected,Verdict
ambient,nature1.wav,sequential,0,10%,103.34543378052672,1,0.0,0.891304,0.021375,0.01047805,0.966894,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,sequential,1,10%,103.33392581318022,1,0.0,0.978261,0.016179,0.00723117,0.980904,0,0,0,0,0,0,SAFE
ambient,nature1.wav,uniform,0,10%,103.33987538505211,1,0.0,0.978261,0.013442,0.00528231,0.965349,0,0,0,0,0,0,SAFE
ambient,nature1.wav,uniform,1,10%,103.32091642625149,1,0.0,0.978261,0.01356,0.00539998,0.978191,0,0,0,0,0,0,SAFE
ambient,nature1.wav,adaptive,0,10%,103.32040593532639,1,0.0,0.978261,0.010382,0.00420072,0.967832,0,0,0,0,0,0,SAFE
ambient,nature1.wav,adaptive,1,10%,103.31272745444991,1,0.0,0.978261,0.011549,0.00455524,0.978441,0,0,0,0,0,0,SAFE
ambient,nature1.wav,sequential,0,50%,96.33249287279024,1,0.0,0.5,0.090899,0.04073462,0.869199,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,sequential,1,50%,96.33781846343656,1,0.0,0.956522,0.067707,0.02699463,0.980703,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,uniform,0,50%,96.3267997871368,1,0.0,0.347826,0.065129,0.02449034,0.87197,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,uniform,1,50%,96.32839808751709,1,0.0,0.978261,0.064114,0.02364396,0.979939,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,adaptive,0,50%,96.32907839378588,1,0.0,0.413043,0.059701,0.02295856,0.873943,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,adaptive,1,50%,96.32731548645702,1,0.0,0.978261,0.06302,0.02339673,0.975708,0,1,1,0,2,2,DETECTED
ambient,nature10.wav,sequential,0,10%,103.35966104842664,1,0.0,0.864865,0.009224,0.00509253,0.95805,0,0,0,0,0,0,SAFE
ambient,nature10.wav,sequential,1,10%,103.32071253068439,1,0.0,0.945946,0.006914,0.00390065,0.971492,0,0,0,0,0,0,SAFE
ambient,nature10.wav,uniform,0,10%,103.33188652487863,1,0.0,0.918919,0.006714,0.00317642,0.959559,0,0,0,0,0,0,SAFE
