Domain,Filename,Method,Payload_Rate,LSB_Bits,Message_Bytes,PSNR,SNR,SF_Cover,SF_Stego,SF_Change,Entropy_Cover,Entropy_Stego,Entropy_Change,Extraction_OK,BER,Encode_Seconds,Decode_Seconds,stat_chi_square,stat_rs_analysis,stat_spa,stat_histogram,det_chi_square,det_rs_analysis,det_spa,det_histogram,Detected_Count,Discriminative_Detected,Verdict
ambient,nature1.wav,Control,0%,1,0,,,0.11181143503495773,0.11181143503495773,0.0,0.9999945363459134,0.9999945363459134,0.0,,,,,0.978261,0.000439,0.00032024,0.977771,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Sequential,1%,1,3789,113.37669295040203,82.82821504454094,0.11181143503495773,0.11223670732603871,0.0004252722910809831,0.9999945363459134,0.9999999838804688,5.44753455544722e-06,1,0.0,0.0338,0.0199,1.0,0.005737,0.00300417,0.98058,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Randomized,1%,1,3789,113.32415092965363,82.77567302379255,0.11181143503495773,0.11228512345373534,0.0004736884187776097,0.9999945363459134,0.9999947035187258,1.67172812370886e-07,1,0.0,0.0544,0.0385,0.978261,0.001663,0.00066357,0.97782,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Adaptive,1%,1,3789,113.36407060371127,82.81559269785019,0.11181143503495773,0.11228757508422574,0.00047614004926800624,0.9999945363459134,0.9999941754904494,3.608554639544792e-07,1,0.0,1.2348,2.8703,0.978261,0.001622,0.00090618,0.977887,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Sequential,5%,1,19108,106.33473472962017,75.78625682375909,0.11181143503495773,0.1139749531758188,0.002163518140861062,0.9999945363459134,0.9999999360837724,5.399737858957643e-06,1,0.0,0.2105,0.1566,1.0,0.010178,0.00470591,0.980741,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Randomized,5%,1,19108,106.33479150051173,75.78631359465065,0.11181143503495773,0.1140310109188404,0.002219575883882663,0.9999945363459134,0.999994523378881,1.2967032447797067e-08,1,0.0,0.353,0.2946,0.978261,0.007243,0.00294524,0.977993,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Adaptive,5%,1,19108,106.35003291223296,75.80155500637188,0.11181143503495773,0.11400800441888188,0.002196569383924152,0.9999945363459134,0.9999941861899051,3.5015600829968463e-07,1,0.0,1.604,2.8964,0.978261,0.005598,0.00214388,0.976514,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Sequential,10%,1,38257,103.32469024783668,72.77621234197561,0.11181143503495773,0.1157341765040838,0.003922741469126065,0.9999945363459134,0.9999998134666983,5.2771207849078294e-06,1,0.0,0.376,0.2777,1.0,0.016312,0.00717177,0.980893,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Randomized,10%,1,38257,103.311000958134,72.76252305227291,0.11181143503495773,0.11583281669397273,0.004021381659015,0.9999945363459134,0.9999960780257591,1.5416798456735492e-06,1,0.0,0.6625,0.5676,0.978261,0.014528,0.00551551,0.97818,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Adaptive,10%,1,38257,103.31604085293822,72.76756294707712,0.11181143503495773,0.1158651951925492,0.004053760157591471,0.9999945363459134,0.9999945311609449,5.1849684545857144e-09,1,0.0,1.7813,3.0301,0.978261,0.011324,0.0043484,0.976439,0,0,0,0,0,0,SAFE
ambient,nature1.wav,Sequential,25%,1,95704,99.3448643780378,68.79638647217672,0.11181143503495773,0.11976501547219207,0.007953580437234334,0.9999945363459134,0.9999999926150962,5.456269182801954e-06,1,0.0,0.8851,0.671,0.978261,0.041371,0.01662915,0.980638,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,Randomized,25%,1,95704,99.3282291075233,68.77975120166222,0.11181143503495773,0.11977799202983988,0.007966556994882149,0.9999945363459134,0.999996613927228,2.0775813146522992e-06,1,0.0,1.994,1.8277,0.978261,0.035323,0.01332043,0.978591,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,Adaptive,25%,1,95704,99.33908920724014,68.79061130137906,0.11181143503495773,0.11978254936683849,0.00797111433188076,0.9999945363459134,0.9999954579840319,9.216381184895539e-07,1,0.0,2.3206,3.4764,0.978261,0.029482,0.01183047,0.97878,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,Sequential,50%,1,191448,96.33110860758802,65.78263070172693,0.11181143503495773,0.12411573383281235,0.012304298797854621,0.9999945363459134,0.999999301915464,4.765569550646553e-06,1,0.0,1.7653,1.3745,0.978261,0.06808,0.02684956,0.980899,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,Randomized,50%,1,191448,96.33267444849879,65.7841965426377,0.11181143503495773,0.12411973957591006,0.01230830454095233,0.9999945363459134,0.9999964737573813,1.9374114679227006e-06,1,0.0,3.8771,3.5883,0.978261,0.066573,0.02567466,0.979587,0,1,1,0,2,2,DETECTED
ambient,nature1.wav,Adaptive,50%,1,191448,96.32626715103002,65.77778924516895,0.11181143503495773,0.12410841339103516,0.012296978356077432,0.9999945363459134,0.9999960889978556,1.5526519422381924e-06,1,0.0,3.2732,4.2623,0.978261,0.064095,0.0244013,0.979056,0,1,1,0,2,2,DETECTED
ambient,nature10.wav,Control,0%,1,0,,,0.0674836021766248,0.0674836021766248,0.0,0.9999788233253931,0.9999788233253931,0.0,,,,,0.918919,0.002111,0.00219752,0.971701,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Sequential,1%,1,3016,113.37644022461782,83.70342433513427,0.0674836021766248,0.06758043060526697,9.682842864217056e-05,0.9999788233253931,0.9999915841424134,1.2760817020285309e-05,1,0.0,0.0773,0.0391,0.945946,0.004738,0.00328511,0.971771,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Randomized,1%,1,3016,113.31318453051951,83.64016864103596,0.0674836021766248,0.0675905130522572,0.00010691087563240165,0.9999788233253931,0.9999794390439352,6.157185420407885e-07,1,0.0,0.0948,0.063,0.918919,0.001973,0.00214286,0.971652,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Adaptive,1%,1,3016,113.32206326939115,83.64904737990761,0.0674836021766248,0.0675881703560554,0.00010456817943059471,0.9999788233253931,0.999979052899539,2.295741459157341e-07,1,0.0,1.1269,2.1559,0.918919,0.001973,0.00218406,0.971667,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Sequential,5%,1,15240,106.31674876469066,76.64373287520709,0.0674836021766248,0.06798874842490199,0.0005051462482771885,0.9999788233253931,0.9999923787228238,1.355539743064238e-05,1,0.0,0.1814,0.1218,0.945946,0.00536,0.00327163,0.971635,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Randomized,5%,1,15240,106.32596870489678,76.65295281541323,0.0674836021766248,0.06798696499252178,0.0005033628158969822,0.9999788233253931,0.99998225283031,3.4295049168298064e-06,1,0.0,0.2854,0.2369,0.945946,0.002493,0.00212773,0.971675,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Adaptive,5%,1,15240,106.33905201559868,76.66603612611513,0.0674836021766248,0.06799975909015175,0.0005161569135269523,0.9999788233253931,0.9999810869425159,2.2636171227441437e-06,1,0.0,1.2426,2.2512,0.945946,0.003851,0.00272503,0.971499,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Sequential,10%,1,30521,103.32071253068439,73.64769664120084,0.0674836021766248,0.06846370260143382,0.000980100424809019,0.9999788233253931,0.9999938428110123,1.501948561921651e-05,1,0.0,0.3147,0.2288,0.972973,0.006525,0.00340732,0.971174,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Randomized,10%,1,30521,103.3131490519877,73.64013316250414,0.0674836021766248,0.06844823378298753,0.0009646316063627314,0.9999788233253931,0.999982816106539,3.992781145933932e-06,1,0.0,0.6406,0.4643,0.972973,0.00554,0.00284626,0.97125,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Adaptive,10%,1,30521,103.30464257534261,73.63162668585906,0.0674836021766248,0.06847088756516855,0.0009872853885437433,0.9999788233253931,0.9999780034460788,8.198793143288086e-07,1,0.0,1.3674,2.3512,0.945946,0.004774,0.00355569,0.971902,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Sequential,25%,1,76363,99.3399194904257,69.66690360094213,0.0674836021766248,0.0695893404184775,0.0021057382418527004,0.9999788233253931,0.9999945423498741,1.5719024480942423e-05,1,0.0,0.7099,0.5375,0.972973,0.011403,0.00530908,0.971327,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Randomized,25%,1,76363,99.34713072097118,69.67411483148763,0.0674836021766248,0.06961106051677447,0.002127458340149671,0.9999788233253931,0.9999870003130444,8.176987651320466e-06,1,0.0,1.5906,1.4446,0.972973,0.010935,0.00411247,0.97095,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Adaptive,25%,1,76363,99.34054484287199,69.66752895338844,0.0674836021766248,0.06961305018688514,0.0021294480102603403,0.9999788233253931,0.999980471673361,1.6483479678974788e-06,1,0.0,1.8273,2.7605,0.972973,0.010019,0.00428047,0.97137,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Sequential,50%,1,152766,96.3305007381886,66.65748484870505,0.0674836021766248,0.07103937172107871,0.003555769544453913,0.9999788233253931,0.9999966928471336,1.7869521740432326e-05,1,0.0,1.3859,1.0596,0.972973,0.014502,0.00598044,0.970747,0,0,0,0,0,0,SAFE
ambient,nature10.wav,Randomized,50%,1,152766,96.33193663157859,66.65892074209503,0.0674836021766248,0.07106523985676277,0.0035816376801379723,0.9999788233253931,0.9999881175022446,9.294176851470937e-06,1,0.0,3.0058,2.775,0.972973,0.018651,0.0066052,0.970974,0,1,0,0,1,1,SUSPICIOUS
ambient,nature10.wav,Adaptive,50%,1,152766,96.33984254252368,66.66682665304013,0.0674836021766248,0.07103862706067002,0.003555024884045216,0.9999788233253931,0.9999956368171719,1.6813491778733258e-05,1,0.0,2.5699,3.2931,0.945946,0.014152,0.0048541,0.970197,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Control,0%,1,0,,,0.2780875449979324,0.2780875449979324,0.0,0.9999791701950542,0.9999791701950542,0.0,,,,,0.954545,0.001036,-8.472e-05,0.97876,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Sequential,1%,1,1842,113.36848915726901,70.34775617802256,0.2780875449979324,0.2785233051702075,0.00043576017227509034,0.9999791701950542,0.999996802159215,1.7631964160824687e-05,1,0.0,0.053,0.0247,1.0,0.003001,0.0019849,0.982024,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Randomized,1%,1,1842,113.27043710143035,70.2497041221839,0.2780875449979324,0.2785744098175999,0.0004868648196674763,0.9999791701950542,0.9999801568666468,9.86671592539956e-07,1,0.0,0.0656,0.0359,0.954545,0.000972,-1.748e-05,0.978726,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Adaptive,1%,1,1842,113.38017159825847,70.35943861901201,0.2780875449979324,0.27856266676683894,0.0004751217689065168,0.9999791701950542,0.9999800965300047,9.26334950523966e-07,1,0.0,0.6728,1.2861,0.954545,0.001264,-0.00014926,0.978601,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Sequential,5%,1,9372,106.33583528653449,63.31510230728804,0.2780875449979324,0.28039171288006975,0.0023041678821373313,0.9999791701950542,0.9999959807627229,1.6810567668668064e-05,1,0.0,0.1167,0.0723,1.0,0.005142,0.00280377,0.982189,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Randomized,5%,1,9372,106.3304092745179,63.309676295271444,0.2780875449979324,0.2802724236048202,0.0021848786068877635,0.9999791701950542,0.9999810214550506,1.8512599964104481e-06,1,0.0,0.181,0.1386,0.954545,0.001243,0.00037401,0.979157,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Adaptive,5%,1,9372,106.33756842050589,63.31683544125944,0.2780875449979324,0.2802989513108565,0.0022114063129241024,0.9999791701950542,0.9999802471998706,1.0770048163299961e-06,1,0.0,0.7368,1.3464,0.954545,0.000786,0.00027846,0.978386,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Sequential,10%,1,18785,103.32605519746778,60.30532221822134,0.2780875449979324,0.2823789872494768,0.004291442251544375,0.9999791701950542,0.9999959717129291,1.6801517874864835e-05,1,0.0,0.1955,0.1377,0.954545,0.002996,0.00202,0.981945,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Randomized,10%,1,18785,103.32362968103018,60.30289670178374,0.2780875449979324,0.2822114326849251,0.004123887686992678,0.9999791701950542,0.9999799553883064,7.85193252195171e-07,1,0.0,0.3209,0.2687,0.954545,0.002746,0.00102853,0.979736,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Adaptive,10%,1,18785,103.32865546919614,60.30792248994969,0.2780875449979324,0.282207866665568,0.004120321667635596,0.9999791701950542,0.9999817416957879,2.571500733683507e-06,1,0.0,0.8282,1.3965,0.954545,0.001434,0.00086145,0.979172,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Sequential,25%,1,47024,99.34763725265088,56.32690427340443,0.2780875449979324,0.28705643649431034,0.008968891496377918,0.9999791701950542,0.9999953665037373,1.6196308683102956e-05,1,0.0,0.4319,0.3372,0.954545,0.00468,0.00271858,0.979015,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Randomized,25%,1,47024,99.34167848910135,56.32094550985491,0.2780875449979324,0.2871017030766694,0.009014158078736956,0.9999791701950542,0.9999837279558056,4.557760751366935e-06,1,0.0,0.8988,0.6271,0.954545,0.005662,0.00152335,0.980813,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Adaptive,25%,1,47024,99.33939415556702,56.318661176320575,0.2780875449979324,0.2870298994481283,0.008942354450195866,0.9999791701950542,0.9999759117962291,3.2583988250900475e-06,1,0.0,0.6572,0.9283,0.954545,0.005126,0.00090591,0.979144,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Sequential,50%,1,94088,96.32511678927993,53.304383810033485,0.2780875449979324,0.2929010908169596,0.014813545819027163,0.9999791701950542,0.9999978385444367,1.8668349382466864e-05,1,0.0,0.4837,0.3541,0.954545,0.010831,0.0052249,0.978406,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Randomized,50%,1,94088,96.32025661556835,53.299523636321894,0.2780875449979324,0.29286168612148594,0.01477414112355352,0.9999791701950542,0.9999941442618411,1.4974066786854756e-05,1,0.0,1.1708,1.0931,0.954545,0.008021,0.00248742,0.981815,0,0,0,0,0,0,SAFE
ambient,nature11.wav,Adaptive,50%,1,94088,96.32437935134608,53.303646372099635,0.2780875449979324,0.29280458928226233,0.014717044284329905,0.9999791701950542,0.999986066821771,6.896626716823562e-06,1,0.0,0.8916,1.1453,0.954545,0.0086,0.00259555,0.980163,0,0,0,0,0,0,SAFE
ambient,nature2.wav,Control,0%,1,0,,,0.04677526908138161,0.04677526908138161,0.0,0.9999880057526452,0.9999880057526452,0.0,,,,,0.975,0.00055,2.54e-05,0.986304,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Sequential,1%,1,3304,113.33356606703327,66.49298802242686,0.04677526908138161,0.04738011287788771,0.0006048437965060979,0.9999880057526452,0.9999935508434797,5.545090834502275e-06,1,0.0,0.0523,0.0239,0.975,0.004865,0.00223873,0.98756,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Randomized,1%,1,3304,113.34694153207188,66.50636348746545,0.04677526908138161,0.047425434376658665,0.000650165295277054,0.9999880057526452,0.9999882333346155,2.2758197026906402e-07,1,0.0,0.0714,0.0405,0.975,0.000834,0.00045507,0.986263,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Adaptive,1%,1,3304,113.3580647113235,66.51748666671706,0.04677526908138161,0.047431146419435966,0.0006558773380543545,0.9999880057526452,0.9999879088117541,9.694089109224535e-08,1,0.0,0.7028,1.3291,0.975,0.000341,0.00025806,0.986254,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Sequential,5%,1,16682,106.33072646877044,59.490148424164005,0.04677526908138161,0.04978309467531564,0.0030078255939340257,0.9999880057526452,0.999993408181471,5.40242882574038e-06,1,0.0,0.1234,0.0718,0.975,0.008728,0.00340489,0.987703,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Randomized,5%,1,16682,106.34875470921317,59.50817666460674,0.04677526908138161,0.04981768008786383,0.0030424110064822193,0.9999880057526452,0.9999893053528487,1.2996002034526555e-06,1,0.0,0.18,0.1436,0.975,0.004679,0.00180359,0.986302,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Adaptive,5%,1,16682,106.32475526756448,59.48417722295805,0.04677526908138161,0.04981275145703997,0.0030374823756583597,0.9999880057526452,0.9999899634515391,1.9576988938840856e-06,1,0.0,0.7785,1.4395,0.975,0.004688,0.00128127,0.986348,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Sequential,10%,1,33404,103.32140085642813,56.480822811821696,0.04677526908138161,0.05234575927064256,0.0055704901892609515,0.9999880057526452,0.9999945265920185,6.5208393732474335e-06,1,0.0,0.1925,0.1342,0.975,0.011371,0.00419499,0.987456,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Randomized,10%,1,33404,103.3195822571892,56.47900421258277,0.04677526908138161,0.05239412119819564,0.005618852116814031,0.9999880057526452,0.9999916370425074,3.6312898621382317e-06,1,0.0,0.3338,0.2962,0.975,0.010151,0.00338251,0.986847,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Adaptive,10%,1,33404,103.32832499379899,56.487746949192555,0.04677526908138161,0.052369299448951946,0.005594030367570335,0.9999880057526452,0.9999900597635435,2.0540108982558536e-06,1,0.0,0.8813,1.4741,0.975,0.010247,0.00256572,0.98639,0,0,0,1,1,1,SUSPICIOUS
ambient,nature2.wav,Sequential,25%,1,83570,99.333654479258,52.49307643465158,0.04677526908138161,0.05849284444451758,0.011717575363135967,0.9999880057526452,0.9999954711205379,7.4653678926450695e-06,1,0.0,0.4115,0.3154,0.975,0.02898,0.00986644,0.988432,0,1,1,1,3,3,DETECTED
ambient,nature2.wav,Randomized,25%,1,83570,99.34497712103519,52.50439907642877,0.04677526908138161,0.05850283079778069,0.011727561716399076,0.9999880057526452,0.9999907054679001,2.6997152549057546e-06,1,0.0,1.1332,1.0538,0.975,0.026307,0.00769533,0.987067,0,1,0,1,2,2,DETECTED
ambient,nature2.wav,Adaptive,25%,1,83570,99.3288072396181,52.488229195011684,0.04677526908138161,0.05857053657881898,0.011795267497437367,0.9999880057526452,0.9999935637353629,5.55798271761887e-06,1,0.0,1.145,1.7258,0.975,0.024767,0.00749877,0.986788,0,1,0,1,2,2,DETECTED
ambient,nature2.wav,Sequential,50%,1,167181,96.33548984180601,49.49491179719958,0.04677526908138161,0.06595031234486533,0.019175043263483717,0.9999880057526452,0.9999974281286647,9.422376019418977e-06,1,0.0,0.8247,0.6268,0.975,0.051561,0.01661885,0.988735,0,1,1,1,3,3,DETECTED
ambient,nature2.wav,Randomized,50%,1,167181,96.32985623935633,49.4892781947499,0.04677526908138161,0.0659434087925249,0.01916813971114329,0.9999880057526452,0.9999974989061197,9.493153474426919e-06,1,0.0,2.1696,1.978,0.975,0.053217,0.01511213,0.988269,0,1,1,1,3,3,DETECTED
ambient,nature2.wav,Adaptive,50%,1,167181,96.32842788254395,49.48784983793752,0.04677526908138161,0.06595137359549176,0.01917610451411015,0.9999880057526452,0.999995936781712,7.93102906671006e-06,1,0.0,1.6303,2.1898,0.975,0.053067,0.01506637,0.988113,0,1,1,1,3,3,DETECTED
ambient,nature3.wav,Control,0%,1,0,,,0.03772993927732012,0.03772993927732012,0.0,0.999997294067549,0.999997294067549,0.0,,,,,0.983051,0.000506,-6.026e-05,0.976728,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Sequential,1%,1,4843,113.34516236266612,85.54054787655681,0.03772993927732012,0.03807499402911609,0.0003450547517959701,0.999997294067549,0.9999991389409939,1.8448734449005855e-06,1,0.0,0.0502,0.0292,0.983051,0.002269,0.0006956,0.976747,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Randomized,1%,1,4843,113.36489184495159,85.56027735884228,0.03772993927732012,0.0380910750732649,0.00036113579594478085,0.999997294067549,0.9999970169345929,2.771329561390701e-07,1,0.0,0.0749,0.0491,0.983051,0.001479,0.00020409,0.976685,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Adaptive,1%,1,4843,113.30109602815098,85.49648154204169,0.03772993927732012,0.03809136606118862,0.0003614267838684959,0.999997294067549,0.9999971270507474,1.6701680161101962e-07,1,0.0,1.0684,1.9947,0.983051,0.000795,2.907e-05,0.976701,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Sequential,5%,1,24375,106.31502898789134,78.51041450178204,0.03772993927732012,0.03938412215482308,0.0016541828775029563,0.999997294067549,0.9999992022901484,1.908222599378284e-06,1,0.0,0.1494,0.1016,1.0,0.00632,0.00184715,0.976821,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Randomized,5%,1,24375,106.3205285766366,78.5159140905273,0.03772993927732012,0.03939421878771189,0.0016642795103917682,0.999997294067549,0.9999973240262566,2.9958707625787895e-08,1,0.0,0.2519,0.2049,0.983051,0.003969,0.00091479,0.976748,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Adaptive,5%,1,24375,106.33123725573121,78.52662276962191,0.03772993927732012,0.039386379610925525,0.0016564403336054023,0.999997294067549,0.9999970334342431,2.6063330593739664e-07,1,0.0,1.1255,2.0618,0.983051,0.001814,0.00044158,0.976494,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Sequential,10%,1,48790,103.3221831748318,75.5175686887225,0.03772993927732012,0.040732024805337295,0.003002085528017173,0.999997294067549,0.9999992092654757,1.9151979266940344e-06,1,0.0,0.2535,0.1877,1.0,0.010782,0.00330715,0.976606,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Randomized,10%,1,48790,103.31882457699278,75.51421009088348,0.03772993927732012,0.04075962357708508,0.0030296842997649606,0.999997294067549,0.9999964713235048,8.227440442265532e-07,1,0.0,0.7286,0.6688,0.983051,0.007207,0.00199042,0.976714,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Adaptive,10%,1,48790,103.31709068898344,75.51247620287415,0.03772993927732012,0.04076569177946226,0.003035752502142136,0.999997294067549,0.9999984685107877,1.1744432386606718e-06,1,0.0,1.2805,2.203,0.983051,0.001651,5.445e-05,0.976465,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Sequential,25%,1,122036,99.3466386675009,71.5420241813916,0.03772993927732012,0.04386922222758099,0.006139282950260866,0.999997294067549,0.9999996440801127,2.350012563656634e-06,1,0.0,0.6134,0.4688,0.983051,0.018464,0.00536183,0.976274,0,1,0,0,1,1,SUSPICIOUS
ambient,nature3.wav,Randomized,25%,1,122036,99.34613983168033,71.54152534557105,0.03772993927732012,0.043882216317745325,0.0061522770404252025,0.999997294067549,0.9999972954979356,1.4303865869536025e-09,1,0.0,1.6555,1.5318,0.983051,0.012717,0.00366908,0.976606,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Adaptive,25%,1,122036,99.33351877105376,71.52890428494446,0.03772993927732012,0.04389187569521558,0.006161936417895461,0.999997294067549,0.9999984153210392,1.1212534901661186e-06,1,0.0,1.7272,2.5596,0.983051,0.005794,0.00157082,0.97673,0,0,0,0,0,0,SAFE
ambient,nature3.wav,Sequential,50%,1,244112,96.32649285260506,68.52187836649576,0.03772993927732012,0.04744084176521244,0.009710902487892317,0.999997294067549,0.9999994062939268,2.1122263778039496e-06,1,0.0,1.2448,0.9128,1.0,0.029281,0.0085766,0.976335,0,1,1,0,2,2,DETECTED
ambient,nature3.wav,Randomized,50%,1,244112,96.33117497132518,68.52656048521588,0.03772993927732012,0.04745043917360234,0.009720499896282216,0.999997294067549,0.9999979171465656,6.230790166039668e-07,1,0.0,3.232,2.937,0.983051,0.028808,0.007933,0.976584,0,1,0,0,1,1,SUSPICIOUS
ambient,nature3.wav,Adaptive,50%,1,244112,96.33389407229943,68.52927958619014,0.03772993927732012,0.047445596335300495,0.009715657057980373,0.999997294067549,0.999996075251596,1.218815953052399e-06,1,0.0,2.393,3.1205,0.983051,0.017364,0.004861,0.976487,0,1,0,0,1,1,SUSPICIOUS
ambient,nature4.wav,Control,0%,1,0,,,0.25717970421669983,0.25717970421669983,0.0,0.9999976145017837,0.9999976145017837,0.0,,,,,0.962963,0.001875,0.00077301,0.978035,0,0,0,0,0,0,SAFE
