detector,method,payload,n_files,auc,p_e
chi_square,Sequential,1%,44,0.56198,0.43182
chi_square,Randomized,1%,44,0.5,0.5
chi_square,Adaptive,1%,44,0.5,0.5
chi_square,Sequential,5%,44,0.57386,0.39773
chi_square,Randomized,5%,44,0.50465,0.48864
chi_square,Adaptive,5%,44,0.50026,0.48864
chi_square,Sequential,10%,44,0.59298,0.39773
chi_square,Randomized,10%,44,0.50852,0.47727
chi_square,Adaptive,10%,44,0.50465,0.48864
chi_square,Sequential,25%,44,0.55888,0.44318
chi_square,Randomized,25%,44,0.54416,0.45455
chi_square,Adaptive,25%,44,0.5031,0.47727
chi_square,Sequential,50%,44,0.60124,0.40909
chi_square,Randomized,50%,44,0.586,0.40909
chi_square,Adaptive,50%,44,0.50956,0.45455
rs_analysis,Sequential,1%,44,0.6064,0.38636
rs_analysis,Randomized,1%,44,0.48192,0.46591
rs_analysis,Adaptive,1%,44,0.51885,0.44318
rs_analysis,Sequential,5%,44,0.71798,0.28409
rs_analysis,Randomized,5%,44,0.63998,0.375
rs_analysis,Adaptive,5%,44,0.55992,0.42045
rs_analysis,Sequential,10%,44,0.73037,0.28409
rs_analysis,Randomized,10%,44,0.74897,0.27273
rs_analysis,Adaptive,10%,44,0.59452,0.38636
rs_analysis,Sequential,25%,44,0.82438,0.19318
rs_analysis,Randomized,25%,44,0.86674,0.15909
rs_analysis,Adaptive,25%,44,0.75775,0.26136
rs_analysis,Sequential,50%,44,0.90083,0.15909
rs_analysis,Randomized,50%,44,0.92459,0.10227
rs_analysis,Adaptive,50%,44,0.89308,0.14773
spa,Sequential,1%,44,0.71178,0.28409
spa,Randomized,1%,44,0.55579,0.40909
spa,Adaptive,1%,44,0.52944,0.43182
spa,Sequential,5%,44,0.76136,0.23864
spa,Randomized,5%,44,0.68802,0.30682
spa,Adaptive,5%,44,0.58988,0.38636
spa,Sequential,10%,44,0.8063,0.22727
spa,Randomized,10%,44,0.73967,0.26136
spa,Adaptive,10%,44,0.66012,0.32955
spa,Sequential,25%,44,0.84969,0.20455
spa,Randomized,25%,44,0.84866,0.19318
spa,Adaptive,25%,44,0.75775,0.26136
spa,Sequential,50%,44,0.89618,0.15909
spa,Randomized,50%,44,0.91374,0.13636
spa,Adaptive,50%,44,0.87087,0.17045
histogram,Sequential,1%,44,0.50646,0.46591
histogram,Randomized,1%,44,0.4969,0.48864
histogram,Adaptive,1%,44,0.50258,0.48864
histogram,Sequential,5%,44,0.51369,0.46591
histogram,Randomized,5%,44,0.49845,0.48864
histogram,Adaptive,5%,44,0.49948,0.47727
histogram,Sequential,10%,44,0.51136,0.46591
histogram,Randomized,10%,44,0.5062,0.47727
histogram,Adaptive,10%,44,0.50103,0.47727
histogram,Sequential,25%,44,0.52066,0.45455
histogram,Randomized,25%,44,0.50413,0.47727
histogram,Adaptive,25%,44,0.50465,0.46591
histogram,Sequential,50%,44,0.53151,0.45455
histogram,Randomized,50%,44,0.52221,0.45455
histogram,Adaptive,50%,44,0.51343,0.46591
