payload,method,repeat,n_files,survived,survival_pct
50%,Sequential,0,44,17,38.6364
50%,Sequential,1,44,18,40.9091
50%,Sequential,2,44,16,36.3636
50%,Sequential,3,44,16,36.3636
50%,Sequential,4,44,19,43.1818
50%,Sequential,5,44,16,36.3636
50%,Sequential,6,44,18,40.9091
50%,Sequential,7,44,18,40.9091
50%,Sequential,8,44,15,34.0909
50%,Sequential,9,44,16,36.3636
50%,Randomized,0,44,12,27.2727
50%,Randomized,1,44,12,27.2727
50%,Randomized,2,44,11,25.0
50%,Randomized,3,44,15,34.0909
50%,Randomized,4,44,13,29.5455
50%,Randomized,5,44,12,27.2727
50%,Randomized,6,44,12,27.2727
50%,Randomized,7,44,13,29.5455
50%,Randomized,8,44,12,27.2727
50%,Randomized,9,44,11,25.0
50%,Adaptive,0,44,24,54.5455
50%,Adaptive,1,44,23,52.2727
50%,Adaptive,2,44,24,54.5455
50%,Adaptive,3,44,25,56.8182
50%,Adaptive,4,44,25,56.8182
50%,Adaptive,5,44,23,52.2727
50%,Adaptive,6,44,26,59.0909
50%,Adaptive,7,44,20,45.4545
50%,Adaptive,8,44,22,50.0
50%,Adaptive,9,44,22,50.0
25%,Sequential,0,44,24,54.5455
25%,Sequential,1,44,24,54.5455
25%,Sequential,2,44,25,56.8182
25%,Sequential,3,44,27,61.3636
25%,Sequential,4,44,28,63.6364
25%,Sequential,5,44,25,56.8182
25%,Sequential,6,44,28,63.6364
25%,Sequential,7,44,28,63.6364
25%,Sequential,8,44,28,63.6364
25%,Sequential,9,44,27,61.3636
25%,Randomized,0,44,27,61.3636
25%,Randomized,1,44,24,54.5455
25%,Randomized,2,44,24,54.5455
25%,Randomized,3,44,23,52.2727
25%,Randomized,4,44,21,47.7273
25%,Randomized,5,44,24,54.5455
25%,Randomized,6,44,24,54.5455
25%,Randomized,7,44,23,52.2727
25%,Randomized,8,44,24,54.5455
25%,Randomized,9,44,23,52.2727
25%,Adaptive,0,44,34,77.2727
25%,Adaptive,1,44,32,72.7273
25%,Adaptive,2,44,32,72.7273
25%,Adaptive,3,44,32,72.7273
25%,Adaptive,4,44,32,72.7273
25%,Adaptive,5,44,33,75.0
25%,Adaptive,6,44,35,79.5455
25%,Adaptive,7,44,30,68.1818
25%,Adaptive,8,44,31,70.4545
25%,Adaptive,9,44,32,72.7273
